uid,subj_id,utterance,pa_step,bt_step,block,buttonOrder,buttonPosition,contour,countDelay,countUp,forcedChoiceRT,presentationOrder,response,response_binary,start,end,erb_diff,st_diff,start_erb,end_erb,start_erb_centered,end_erb_centered,tcog_t_raw,tcog_f_raw,tcog_t_centered,tcog_f_centered,tcog_t_semitone,tcog_f_semitone,st_tcog,global_pattern,duration,age,gender,born_in_us,time_in_us,has_music_training,music_details,speaks_other_lang,other_lang_details,age_learned_english,aq_comm,aq_social,loneliness_score,logrt
3908,61003a57b29e11c1531ed75f,grandma,3,4,1,ta,left,3_4,4686,42,1597,4,telling,1,90,124.05699442806409,0.8826190008739658,5.556074054596848,2.7482045789059484,3.630823579779914,0,0.8826190008739658,0.5505727669702071,102.90915938676997,0.8497375767655876,12.909159386769963,0.8407978046190889,2.2537245503910155,2.3204938543378626,rising,345,48,Male,Yes,NA,Yes,guitar,Yes,"spanish, ASL",birth,4,0,36,7.3758821482150125
3909,61003a57b29e11c1531ed75f,greenview,2,2,1,ta,left,2_2,3004,36,1731,5,telling,1,80,81.1346582583131,0.03142632932198097,0.24381985859143213,2.4743972504579332,2.505823579779914,-0.27380732844801514,-0.24238099912603417,0.5173542201954114,81.20967720032412,0.5970106987202565,-8.790322799675867,0.5998911192344759,-1.7620759657573513,-1.7792801725619696,rising,345,48,Male,Yes,NA,Yes,guitar,Yes,"spanish, ASL",birth,4,0,36,7.456454555176209
3910,61003a57b29e11c1531ed75f,branning,1,2,1,ta,left,1_2,3628,56,705,6,telling,1,70,81.1346582583131,0.3125,2.5555607939001854,2.193323579779914,2.505823579779914,-0.5548809991260342,-0.24238099912603417,0.49459133695899515,75.75353318783371,0.5308692979488949,-14.246466812166297,0.5323006315397473,-2.9819442946038044,-2.983341878051996,rising,345,48,Male,Yes,NA,Yes,guitar,Yes,"spanish, ASL",birth,4,0,36,6.558197802812269
3911,61003a57b29e11c1531ed75f,greenview,3,3,1,ta,right,3_3,3795,76,2064,7,asking,0,90,102.02442198493041,0.32011900087396583,2.171011566434052,2.7482045789059484,3.068323579779914,0,0.32011900087396583,0.5262610429048316,94.52596217556355,0.8511719267264694,4.525962175563551,0.8450079011829403,0.8529889265750444,0.8494275356828824,rising,345,48,Male,Yes,NA,Yes,guitar,Yes,"spanish, ASL",birth,4,0,36,7.6324011266014535
3912,61003a57b29e11c1531ed75f,grandma,4,1,1,ta,left,4_1,3153,54,882,8,telling,1,100,61.325523908511215,-1.0717793542503813,-8.465285292009813,3.0151029340302955,1.9433235797799142,0.2668983551243471,-0.8048809991260342,0.49762241657624684,84.23065318490578,0.6834520924401553,-5.769346815094234,0.6979624189997126,-1.3034581304925412,-1.1469557712475043,falling,345,48,Male,Yes,NA,Yes,guitar,Yes,"spanish, ASL",birth,4,0,36,6.782192056006791
3913,61003a57b29e11c1531ed75f,broadway,3,1,1,ta,left,3_1,3049,78,1505,9,telling,1,90,61.325523908511215,-0.8048809991260342,-6.641248170669213,2.7482045789059484,1.9433235797799142,0,-0.8048809991260342,0.4710220640766514,78.04766413462276,0.8353007349066071,-11.952335865377242,0.8347683992349535,-2.5434785661402106,-2.4668345590167884,falling,345,48,Male,Yes,NA,Yes,guitar,Yes,"spanish, ASL",birth,4,0,36,7.316548177182976
3914,61003a57b29e11c1531ed75f,bronville,5,1,1,ta,left,5_1,3818,52,1057,10,telling,1,110,61.325523908511215,-1.3321003893612655,-10.115327577009031,3.2754239691411797,1.9433235797799142,0.5272193902352313,-0.8048809991260342,0.519392361724434,90.66795644771207,0.576986162035371,0.6679564477120831,0.5896430119190958,-0.03286240066641153,0.12801320579626424,falling,345,48,Male,Yes,NA,Yes,guitar,Yes,"spanish, ASL",birth,4,0,36,6.963189985870238
3915,61003a57b29e11c1531ed75f,greenview,2,4,1,ta,right,2_4,3041,24,1982,11,asking,0,80,124.05699442806409,1.156426329321981,7.595174071904597,2.4743972504579332,3.630823579779914,-0.27380732844801514,0.8826190008739658,0.5534764530168779,97.38511939376279,0.6945726196729252,7.385119393762803,0.678432248488277,1.213355578447129,1.3653160984009123,rising,345,48,Male,Yes,NA,Yes,guitar,Yes,"spanish, ASL",birth,4,0,36,7.591861714889934
3916,61003a57b29e11c1531ed75f,broadway,4,5,1,ta,left,4_5,4835,54,716,12,telling,1,100,147.29848706238238,1.1782206457496187,6.704911346252346,3.0151029340302955,4.193323579779914,0.2668983551243471,1.4451190008739658,0.5409942560759174,118.91791260100506,0.7263319313002559,28.917912601005057,0.7064199244276229,4.718923972580411,4.823629656007368,rising,345,48,Male,Yes,NA,Yes,guitar,Yes,"spanish, ASL",birth,4,0,36,6.573680166960646
3917,61003a57b29e11c1531ed75f,bronville,5,2,1,ta,left,5_2,3926,36,2505,13,telling,1,110,81.1346582583131,-0.7696003893612655,-5.269359565056132,3.2754239691411797,2.505823579779914,0.5272193902352313,-0.24238099912603417,0.5329642055210002,97.28806500886046,0.4948798201919092,7.288065008860456,0.494008124102151,1.3490168542812448,1.3480539500274038,falling,345,48,Male,Yes,NA,Yes,guitar,Yes,"spanish, ASL",birth,4,0,36,7.826044013518965
